Tweets,Task A
"As the Bharatiya Janata Party (BJP) looks set for a massive and unprecedented victory, it is clear that Assam, too, has shown trends similar to the Hindi belt. Out of a total of 14 seats in the state, the BJP and its ally the Asom Gana Parisad (AGP) are set to register a victory in eight seats. The Congress has somehow managed to maintain a lead in three seats, while the All India United Democratic Front (AIUDF) is winning in two seats.",0
" During the 1992 United States presidential elections, a campaign slogan coined by James Carville campaign manager for Bill Clinton hit the mark and struck a chord with the voters. Clinton defeated the incumbent Republican president George HW Bush, and the cat\u2026 [+6637 chars]',",0
"I don't tell lies like Modi ji. I believe in Gandhi ji. I will always tell the truth, even if it costs an election",1
" The BJP has a vision of India: one nation, one history, one culture, one heritage, one civil code, one national language, and many other aspects of oneness.\xa0 (PTI Photo)\r\nOn May 17, 2019, while addressing a rally at Khargone, Madhya Pradesh,\xa0 Mr Narendra Modi\u2026 [+5285 chars]',",0
"The Supreme Court on May 22 granted protection from arrest till May 28 to Arjun Singh, the BJP candidate from Barrackpore constituency in West Bengal, in criminal cases lodged against him by the state police.",0
"  Many see the election as a referendum on Mr Modi who won a landslide in 2014\r\nIndians will finally find out on Thursday who won the general election after a long and bitter campaign.\r\nPrime Minister Narendra Modi, whose B\u2026 [+6713 chars]',",0
PATNA: RJD chief Lalu Prasad’s elder son Tej Pratap on Friday described his father-in-law Chandrika Rai as ‘Bahrupia’ (dissembler) and ‘Girgit’ (chameleon) and made a fervent appeal to the electors of Saran Lok Sabha constituency not to support and vote him in the ongoing election. ,0
" NEW DELHI (AP) The Latest on India's general election (all times local):\r\n7:15 p.m.\r\nVoting in India's mammoth national election has ended with the seventh and final phase of a grueling poll that lasted more than five weeks, with exit polls predicting that Pr\u2026 [+1495 chars]"",",0
" NEW DELHI (AP) Indians voted Sunday in the next-to-last round of a six-week-long national election marked by a highly acrimonious campaign that has seen Prime Minister Narendra Modi blame opposition party chief Rahul Gandhi's family for the country's ills.\r\nS\u2026 [+5642 chars]"",",0
" Arrah in western Bihar, a constituency weighed down by a past mired in caste oppression and bloodshed, is witnessing a straight contest between the BJP and the grand alliance. \r\nUnion Minister R.K. Singh, sitting MP, is pitted against Communist Party of India\u2026 [+4150 chars]',",0
" Ramalinga Reddy is the MLA of BTM Layout constituency in Bengaluru, held important portfolios like home and transport in the previous government.\r\nSenior Congress leader and former Karnataka minister Ramalinga Reddy has openly criticised the party leadership \u2026 [+1436 chars]",0
" New York: Time magazine, which published a cover story before the Lok Sabha elections calling Prime Minister Narendra Modi the ""Divider in Chief"", has carried an editorial with the headline \'Modi Has United India Like No Prime Minister in Decades\'.The article\u2026 [+3536 chars]",1
"Former IAS officer Arjun Ram Meghwal won the 2014 Lok Sabha elections from Bikaner by more than three lakh votes, defeating Congress’s Shankar Pannu.",0
" Languages spoken in India belong to several language families, the major ones being the Indo-Aryan languages spoken by 78.05% of Indians and the Dravidian languages spoken by 19.64% of Indians.[6][7] Languages spoken by the remaining 2.31% of the population b\u2026,",0
 BSP President Mayawati during an election campaign in New Delhi.\r\nBAHUJAN SAMAJ Party (BSP) chief Mayawati Friday alleged that people in Prime Minister Narendra Modis constituency were being threatened and questioned if the polling there could be held fairly.\u2026 [+1574 chars],0
" In the tweet, Kejriwal tagged Modi\u2019s tweet in which he said Delhi government brought in \u201cnakampanthi\u201d (non-performance) model of governance.\r\nDelhi Chief Minister and Aam Aadmi Party supremo Arvind Kejriwal talked to Samajwadi Party chief Akhilesh Yadav over \u2026 [+1335 chars]",0
" BJP president Amit Shah will make his Lok Sabha debut from Gandhinagar. (Express Photo by Anil Sharma)\r\nEver since a landslide victory in 2014 Lok Sabha polls, Amit Shah \u2013 BJP president and a close confidant of Prime Minister Narendra Modi \u2013 has led the saffr\u2026 [+6777 chars]',",0
BJP candidate Tejaswi Surya was able to receive a temporary injunction that barred the media from reporting allegations of sexual harassment levelled against him.,0
This week has brought news once considered unthinkable -- Co .. ,0
" The distancing of the BSP from the SP after their joint campaign failed to get the desired results in the 2019 Lok Sabha election may not have altered the latters equation with the third partner in the alliance, the RLD.\r\nThe RLD has so far maintained status \u2026 [+1679 chars]',",0
" Uttar Pradesh Election Results 2019 LIVE Updates: All eyes are on India\u2019s most populous state that sends the maximum number 80 out of 543 MPs to Lok Sabha.\r\nUP Lok Sabha Election Results 2019 LIVE Updates: Will Uttar Pradesh, widely considered as the kingmake\u2026 [+5179 chars]",0
"An articulate and aggressive leader, Baljinder Kaur , AAP candidate from Bathinda Lok Sabha seat, faces the challenge not only from rival parties, but also from within her own party.",1
"  Many see the election as a referendum on Mr Modi who won a landslide in 2014\r\nIndians will finally find out on Thursday who won the general election after a long and bitter campaign.\r\nPrime Minister Narendra Modi, whose B\u2026 [+6713 chars]',",0
" India\u2019s Prime Minister Narendra Modi speaks to the media after his meeting with President Ram Nath Kovind, to stake claim to form the new government at the Presidential Palace in New Delhi. REUTERS\r\nThe unprecedented mandate for the BJP in 2019 Lok Sabha elec\u2026 [+8087 chars]',",0
"@PMOIndia bohot acha khele aap 'AAPKI ADALAT' mei, It was so obvious by the first 10 minutes that it was a paid promotion! @RajatSharmaLive I was not expecting this from you! #realnewsoutofstock #2019Elections",0
" Photo Credits: Pallavi Bhadkamkar. Used with permission.\r\nLooking back at the most important election of India, the Lok Sabha 2019 election (Indian general election) was nothing less than that of a typical political soap opera \u2014 complete with name-calling and\u2026 [+3255 chars]',",1
Kanhaiya Kumar considers Naxalites to be gullible #naxalattack #gadchiroli #Naxal ,1
